"","mileage_bin","mode_c","breakdown_total","total","total_n","breakdown_n","pct"
"1","<=0.25","driver",280475.9911,16915619.1937,54794,882,0.0165808882245623
"2","<=0.25","passenger",82085.2909,4714817.315,14946,259,0.0174100681777953
"3","<=0.25","transit",18622.8031,1806895.8977,10235,100,0.0103065168965766
"4","<=0.25","walk",1021657.9966,2912946.1114,11113,3895,0.350730139703469
"5","<=0.25","schoolbus",2344.9507,733861.5136,3080,12,0.00319535860178402
"6","<=0.25","bike",15347.2388,312720.7998,1689,52,0.0490764887075478
"7","<=0.25","other",5330.7262,382149.5739,1382,19,0.0139493187068028
"8","0.25 to 0.5","driver",596710.7952,16915619.1937,54794,1707,0.0352757288023034
"9","0.25 to 0.5","passenger",192562.9093,4714817.315,14946,615,0.0408420722235343
"10","0.25 to 0.5","transit",24302.599,1806895.8977,10235,127,0.0134499165286361
"11","0.25 to 0.5","walk",987303.2045,2912946.1114,11113,3765,0.33893630940721
"12","0.25 to 0.5","schoolbus",3700.4614,733861.5136,3080,13,0.00504245192236226
"13","0.25 to 0.5","bike",29469.9303,312720.7998,1689,117,0.0942371927893745
"14","0.25 to 0.5","other",12546.5289,382149.5739,1382,31,0.0328314611788188
"15","0.5 to 1","driver",1525630.6026,16915619.1937,54794,4688,0.090190644819446
"16","0.5 to 1","passenger",525533.5214,4714817.315,14946,1806,0.111464238439957
"17","0.5 to 1","transit",96517.5679,1806895.8977,10235,425,0.0534162305769011
"18","0.5 to 1","walk",656637.1314,2912946.1114,11113,2541,0.225420281147739
"19","0.5 to 1","schoolbus",52801.6281,733861.5136,3080,212,0.0719503981629702
"20","0.5 to 1","bike",67710.7552,312720.7998,1689,299,0.216521431396007
"21","0.5 to 1","other",30293.4635,382149.5739,1382,124,0.0792712214509158
"22","1 to 2.5","driver",4107885.5653,16915619.1937,54794,12763,0.242845710716279
"23","1 to 2.5","passenger",1423857.9675,4714817.315,14946,4415,0.301996423693884
"24","1 to 2.5","transit",291869.0977,1806895.8977,10235,1394,0.161530665973353
"25","1 to 2.5","walk",209162.0092,2912946.1114,11113,737,0.0718042837735416
"26","1 to 2.5","schoolbus",279997.1074,733861.5136,3080,1186,0.381539435180976
"27","1 to 2.5","bike",112479.0847,312720.7998,1689,573,0.359678936520806
"28","1 to 2.5","other",101921.0593,382149.5739,1382,356,0.266704626306009
"29","2.5 to 5","driver",3846000.8491,16915619.1937,54794,12009,0.227363882164739
"30","2.5 to 5","passenger",1153742.8653,4714817.315,14946,3679,0.244705741117352
"31","2.5 to 5","transit",344261.857,1806895.8977,10235,2086,0.19052666921111
"32","2.5 to 5","walk",22961.8531,2912946.1114,11113,101,0.00788269065814068
"33","2.5 to 5","schoolbus",269263.4395,733861.5136,3080,1083,0.366913149838193
"34","2.5 to 5","bike",43114.0641,312720.7998,1689,314,0.137867593481385
"35","2.5 to 5","other",79307.3694,382149.5739,1382,336,0.207529655445208
"36","5 to 10","driver",2936754.1023,16915619.1937,54794,9441,0.173611977703645
"37","5 to 10","passenger",728797.5522,4714817.315,14946,2352,0.154575989589535
"38","5 to 10","transit",455720.5221,1806895.8977,10235,2696,0.252211830620728
"39","5 to 10","walk",12560.4817,2912946.1114,11113,59,0.00431195127532355
"40","5 to 10","schoolbus",90358.6824,733861.5136,3080,442,0.123127702877809
"41","5 to 10","bike",35644.3291,312720.7998,1689,265,0.113981318552512
"42","5 to 10","other",87903.7355,382149.5739,1382,301,0.230024423690715
"43","10 to 25","driver",2653759.6137,16915619.1937,54794,9218,0.156882203560622
"44","10 to 25","passenger",489556.9843,4714817.315,14946,1389,0.103833712229421
"45","10 to 25","transit",392913.0773,1806895.8977,10235,2141,0.217451972634472
"46","10 to 25","walk",2663.4349,2912946.1114,11113,15,0.000914344034576019
"47","10 to 25","schoolbus",27923.8255,733861.5136,3080,109,0.0380505381226739
"48","10 to 25","bike",8744.1919,312720.7998,1689,66,0.0279616575091658
"49","10 to 25","other",49422.1648,382149.5739,1382,167,0.12932675626359
"50","25 to 50","driver",887823.2647,16915619.1937,54794,3704,0.0524854133055122
"51","25 to 50","passenger",107104.161,4714817.315,14946,383,0.0227165028556361
"52","25 to 50","transit",176048.0682,1806895.8977,10235,1205,0.097431218048639
"53","25 to 50","schoolbus",7471.4186,733861.5136,3080,23,0.0101809652932316
"54","25 to 50","bike",211.2057,312720.7998,1689,3,0.000675381043202359
"55","25 to 50","other",14764.62,382149.5739,1382,43,0.0386357097021481
"56","50 to 100","driver",80578.4097,16915619.1937,54794,382,0.00476355070289182
"57","50 to 100","passenger",11576.0631,4714817.315,14946,48,0.00245525167288481
"58","50 to 100","transit",6640.3054,1806895.8977,10235,61,0.00367497950958462
"59","50 to 100","other",659.9063,382149.5739,1382,5,0.00172682725579247
"60","<=0.25","all",1425864.9974,27779010.4051,97239,5219,0.0513288622095128
"61","0.25 to 0.5","all",1846596.4286,27779010.4051,97239,6375,0.0664745216503818
"62","0.5 to 1","all",2955124.6701,27779010.4051,97239,10095,0.106379767565711
"63","1 to 2.5","all",6527171.8911,27779010.4051,97239,21424,0.234967761483025
"64","2.5 to 5","all",5758652.2975,27779010.4051,97239,19608,0.207302283757479
"65","5 to 10","all",4347739.4053,27779010.4051,97239,15556,0.156511673450462
"66","10 to 25","all",3624983.2924,27779010.4051,97239,13105,0.130493607926886
"67","25 to 50","all",1193422.7382,27779010.4051,97239,5361,0.0429613121848609
"68","50 to 100","all",99454.6845,27779010.4051,97239,496,0.00358020977168218
